#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -9.9352776792936692e-04
-3.9466666666666672e-01 -3.9466666666666672e-01 5.5814295261658153e-01 -3.2121128844523621e-03
-3.8933333333333336e-01 -3.8933333333333336e-01 5.5060048028392505e-01 -5.7242687873577409e-03
-3.8400000000000001e-01 -3.8400000000000001e-01 5.4305800795126846e-01 -7.9156148672669940e-03
-3.7866666666666671e-01 -3.7866666666666671e-01 5.3551553561861198e-01 -9.6781554790930195e-03
-3.7333333333333335e-01 -3.7333333333333335e-01 5.2797306328595550e-01 -1.1060819425554241e-02
-3.6800000000000005e-01 -3.6800000000000005e-01 5.2043059095329902e-01 -1.2130367608483319e-02
-3.6266666666666669e-01 -3.6266666666666669e-01 5.1288811862064254e-01 -1.2932038630027069e-02
-3.5733333333333334e-01 -3.5733333333333334e-01 5.0534564628798595e-01 -1.3490264044129608e-02
-3.5200000000000004e-01 -3.5200000000000004e-01 4.9780317395532947e-01 -1.3820149848432760e-02
-3.4666666666666668e-01 -3.4666666666666668e-01 4.9026070162267299e-01 -1.3937473060380472e-02
-3.4133333333333332e-01 -3.4133333333333332e-01 4.8271822929001645e-01 -1.3863732819701187e-02
-3.3600000000000002e-01 -3.3600000000000002e-01 4.7517575695735997e-01 -1.3626723580246653e-02
-3.3066666666666666e-01 -3.3066666666666666e-01 4.6763328462470344e-01 -1.3258369719781312e-02
-3.2533333333333336e-01 -3.2533333333333336e-01 4.6009081229204696e-01 -1.2791543670514625e-02
-3.2000000000000001e-01 -3.2000000000000001e-01 4.5254833995939042e-01 -1.2257079626826381e-02
-3.1466666666666665e-01 -3.1466666666666665e-01 4.4500586762673389e-01 -1.1681614153668239e-02
-3.0933333333333335e-01 -3.0933333333333335e-01 4.3746339529407741e-01 -1.1086422965830765e-02
-3.0400000000000005e-01 -3.0400000000000005e-01 4.2992092296142093e-01 -1.0487134308680861e-02
-2.9866666666666669e-01 -2.9866666666666669e-01 4.2237845062876445e-01 -9.8940686179733069e-03
-2.9333333333333333e-01 -2.9333333333333333e-01 4.1483597829610791e-01 -9.3129377707574651e-03
-2.8799999999999998e-01 -2.8799999999999998e-01 4.0729350596345137e-01 -8.7456869552425300e-03
-2.8266666666666668e-01 -2.8266666666666668e-01 3.9975103363079489e-01 -8.1913373480998891e-03
-2.7733333333333338e-01 -2.7733333333333338e-01 3.9220856129813841e-01 -7.6467601404636423e-03
-2.7199999999999996e-01 -2.7199999999999996e-01 3.8466608896548182e-01 -7.1073663194885497e-03
-2.6666666666666666e-01 -2.6666666666666666e-01 3.7712361663282534e-01 -6.5677266964618919e-03
-2.6133333333333336e-01 -2.6133333333333336e-01 3.6958114430016886e-01 -6.0221449465101481e-03
-2.5600000000000001e-01 -2.5600000000000001e-01 3.6203867196751238e-01 -5.4651989825870231e-03
-2.5066666666666665e-01 -2.5066666666666665e-01 3.5449619963485585e-01 -4.8922503849988183e-03
-2.4533333333333332e-01 -2.4533333333333332e-01 3.4695372730219931e-01 -4.2999049196351374e-03
-2.3999999999999999e-01 -2.3999999999999999e-01 3.3941125496954283e-01 -3.6863947886877808e-03
-2.3466666666666669e-01 -2.3466666666666669e-01 3.3186878263688629e-01 -3.0518483295830026e-03
-2.2933333333333331e-01 -2.2933333333333331e-01 3.2432631030422976e-01 -2.3984163407041073e-03
-2.2399999999999998e-01 -2.2399999999999998e-01 3.1678383797157328e-01 -1.7302351154207555e-03
-2.1866666666666668e-01 -2.1866666666666668e-01 3.0924136563891680e-01 -1.0532223361729969e-03
-2.1333333333333335e-01 -2.1333333333333335e-01 3.0169889330626026e-01 -3.7472025216865731e-04
-2.0800000000000002e-01 -2.0800000000000002e-01 2.9415642097360378e-01 2.9698202606353333e-04
-2.0266666666666666e-01 -2.0266666666666666e-01 2.8661394864094725e-01 9.5320140708150174e-04
-1.9733333333333333e-01 -1.9733333333333333e-01 2.7907147630829077e-01 1.5854347640203118e-03
-1.9200000000000000e-01 -1.9200000000000000e-01 2.7152900397563423e-01 2.1858979272474464e-03
-1.8666666666666665e-01 -1.8666666666666665e-01 2.6398653164297775e-01 2.7479783606540143e-03
-1.8133333333333335e-01 -1.8133333333333335e-01 2.5644405931032127e-01 3.2665605850460281e-03
-1.7599999999999999e-01 -1.7599999999999999e-01 2.4890158697766471e-01 3.7381981497269438e-03
-1.7066666666666666e-01 -1.7066666666666666e-01 2.4135911464500823e-01 4.1611231104952927e-03
-1.6533333333333333e-01 -1.6533333333333333e-01 2.3381664231235169e-01 4.5351014919526806e-03
-1.6000000000000000e-01 -1.6000000000000000e-01 2.2627416997969521e-01 4.8611591230604953e-03
-1.5466666666666665e-01 -1.5466666666666665e-01 2.1873169764703868e-01 5.1412148663547248e-03
-1.4933333333333332e-01 -1.4933333333333332e-01 2.1118922531438220e-01 5.3776664018186501e-03
-1.4399999999999999e-01 -1.4399999999999999e-01 2.0364675298172569e-01 5.5729767191820294e-03
-1.3866666666666666e-01 -1.3866666666666666e-01 1.9610428064906915e-01 5.7293072428094248e-03
-1.3333333333333333e-01 -1.3333333333333333e-01 1.8856180831641267e-01 5.8482365351693608e-03
-1.2799999999999997e-01 -1.2799999999999997e-01 1.8101933598375614e-01 5.9305927341533528e-03
-1.2266666666666666e-01 -1.2266666666666666e-01 1.7347686365109966e-01 5.9764145497362715e-03
-1.1733333333333332e-01 -1.1733333333333332e-01 1.6593439131844315e-01 5.9850412398840527e-03
-1.1199999999999999e-01 -1.1199999999999999e-01 1.5839191898578664e-01 5.9553180023972710e-03
-1.0666666666666665e-01 -1.0666666666666665e-01 1.5084944665313013e-01 5.8858910446553661e-03
-1.0133333333333333e-01 -1.0133333333333333e-01 1.4330697432047362e-01 5.7755573746739123e-03
-9.5999999999999988e-02 -9.5999999999999988e-02 1.3576450198781712e-01 5.6236289077043139e-03
