#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -4.3479599995363299e-02
-3.9466666666666672e-01 -3.9466666666666672e-01 5.5814295261658153e-01 -4.0937420576018853e-02
-3.8933333333333336e-01 -3.8933333333333336e-01 5.5060048028392505e-01 -3.8437749153247262e-02
-3.8400000000000001e-01 -3.8400000000000001e-01 5.4305800795126846e-01 -3.6040228846434083e-02
-3.7866666666666671e-01 -3.7866666666666671e-01 5.3551553561861198e-01 -3.3745324749981515e-02
-3.7333333333333335e-01 -3.7333333333333335e-01 5.2797306328595550e-01 -3.1536718798521240e-02
-3.6800000000000005e-01 -3.6800000000000005e-01 5.2043059095329902e-01 -2.9398507751650153e-02
-3.6266666666666669e-01 -3.6266666666666669e-01 5.1288811862064254e-01 -2.7319920277106603e-02
-3.5733333333333334e-01 -3.5733333333333334e-01 5.0534564628798595e-01 -2.5294947732815577e-02
-3.5200000000000004e-01 -3.5200000000000004e-01 4.9780317395532947e-01 -2.3320697800139185e-02
-3.4666666666666668e-01 -3.4666666666666668e-01 4.9026070162267299e-01 -2.1396068215512799e-02
-3.4133333333333332e-01 -3.4133333333333332e-01 4.8271822929001645e-01 -1.9521121538754852e-02
-3.3600000000000002e-01 -3.3600000000000002e-01 4.7517575695735997e-01 -1.7696987770917817e-02
-3.3066666666666666e-01 -3.3066666666666666e-01 4.6763328462470344e-01 -1.5925965259533808e-02
-3.2533333333333336e-01 -3.2533333333333336e-01 4.6009081229204696e-01 -1.4211539665843804e-02
-3.2000000000000001e-01 -3.2000000000000001e-01 4.5254833995939042e-01 -1.2558168371434931e-02
-3.1466666666666665e-01 -3.1466666666666665e-01 4.4500586762673389e-01 -1.0970808038850815e-02
-3.0933333333333335e-01 -3.0933333333333335e-01 4.3746339529407741e-01 -9.4542588106472612e-03
-3.0400000000000005e-01 -3.0400000000000005e-01 4.2992092296142093e-01 -8.0124482457509718e-03
-2.9866666666666669e-01 -2.9866666666666669e-01 4.2237845062876445e-01 -6.6477853599460988e-03
-2.9333333333333333e-01 -2.9333333333333333e-01 4.1483597829610791e-01 -5.3606914615580000e-03
-2.8799999999999998e-01 -2.8799999999999998e-01 4.0729350596345137e-01 -4.1493734391625740e-03
-2.8266666666666668e-01 -2.8266666666666668e-01 3.9975103363079489e-01 -3.0098591691112369e-03
-2.7733333333333338e-01 -2.7733333333333338e-01 3.9220856129813841e-01 -1.9362732349335764e-03
-2.7199999999999996e-01 -2.7199999999999996e-01 3.8466608896548182e-01 -9.2130013453004770e-04
-2.6666666666666666e-01 -2.6666666666666666e-01 3.7712361663282534e-01 4.3235797494110099e-05
-2.6133333333333336e-01 -2.6133333333333336e-01 3.6958114430016886e-01 9.6574951179882230e-04
-2.5600000000000001e-01 -2.5600000000000001e-01 3.6203867196751238e-01 1.8543032016309303e-03
-2.5066666666666665e-01 -2.5066666666666665e-01 3.5449619963485585e-01 2.7160990467973612e-03
-2.4533333333333332e-01 -2.4533333333333332e-01 3.4695372730219931e-01 3.5570944250073108e-03
-2.3999999999999999e-01 -2.3999999999999999e-01 3.3941125496954283e-01 4.3817578096645689e-03
-2.3466666666666669e-01 -2.3466666666666669e-01 3.3186878263688629e-01 5.1929655852030856e-03
-2.2933333333333331e-01 -2.2933333333333331e-01 3.2432631030422976e-01 5.9920253867337186e-03
-2.2399999999999998e-01 -2.2399999999999998e-01 3.1678383797157328e-01 6.7788013743672612e-03
-2.1866666666666668e-01 -2.1866666666666668e-01 3.0924136563891680e-01 7.5519113848379303e-03
-2.1333333333333335e-01 -2.1333333333333335e-01 3.0169889330626026e-01 8.3089648389851594e-03
-2.0800000000000002e-01 -2.0800000000000002e-01 2.9415642097360378e-01 9.0468128504340474e-03
-2.0266666666666666e-01 -2.0266666666666666e-01 2.8661394864094725e-01 9.7617871455781876e-03
-1.9733333333333333e-01 -1.9733333333333333e-01 2.7907147630829077e-01 1.0449911049240907e-02
-1.9200000000000000e-01 -1.9200000000000000e-01 2.7152900397563423e-01 1.1107072855226557e-02
-1.8666666666666665e-01 -1.8666666666666665e-01 2.6398653164297775e-01 1.1729158493875262e-02
-1.8133333333333335e-01 -1.8133333333333335e-01 2.5644405931032127e-01 1.2312145869546171e-02
-1.7599999999999999e-01 -1.7599999999999999e-01 2.4890158697766471e-01 1.2852167168726246e-02
-1.7066666666666666e-01 -1.7066666666666666e-01 2.4135911464500823e-01 1.3345547685852688e-02
-1.6533333333333333e-01 -1.6533333333333333e-01 2.3381664231235169e-01 1.3788830350772352e-02
-1.6000000000000000e-01 -1.6000000000000000e-01 2.2627416997969521e-01 1.4178794411378077e-02
-1.5466666666666665e-01 -1.5466666666666665e-01 2.1873169764703868e-01 1.4512474981845143e-02
-1.4933333333333332e-01 -1.4933333333333332e-01 2.1118922531438220e-01 1.4787187818231960e-02
-1.4399999999999999e-01 -1.4399999999999999e-01 2.0364675298172569e-01 1.5000561134667252e-02
-1.3866666666666666e-01 -1.3866666666666666e-01 1.9610428064906915e-01 1.5150573884548206e-02
-1.3333333333333333e-01 -1.3333333333333333e-01 1.8856180831641267e-01 1.5235597983708908e-02
-1.2799999999999997e-01 -1.2799999999999997e-01 1.8101933598375614e-01 1.5254440631537558e-02
-1.2266666666666666e-01 -1.2266666666666666e-01 1.7347686365109966e-01 1.5206382274952206e-02
-1.1733333333333332e-01 -1.1733333333333332e-01 1.6593439131844315e-01 1.5091205846974078e-02
-1.1199999999999999e-01 -1.1199999999999999e-01 1.5839191898578664e-01 1.4909213604253501e-02
-1.0666666666666665e-01 -1.0666666666666665e-01 1.5084944665313013e-01 1.4661229035608844e-02
-1.0133333333333333e-01 -1.0133333333333333e-01 1.4330697432047362e-01 1.4348582731746091e-02
