#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -1.3864019212981764e-02
-3.9466666666666672e-01 -3.9466666666666672e-01 5.5814295261658153e-01 -1.4987356236702023e-02
-3.8933333333333336e-01 -3.8933333333333336e-01 5.5060048028392505e-01 -1.5571630998204723e-02
-3.8400000000000001e-01 -3.8400000000000001e-01 5.4305800795126846e-01 -1.6024820068916212e-02
-3.7866666666666671e-01 -3.7866666666666671e-01 5.3551553561861198e-01 -1.6295072355849233e-02
-3.7333333333333335e-01 -3.7333333333333335e-01 5.2797306328595550e-01 -1.6307461610254526e-02
-3.6800000000000005e-01 -3.6800000000000005e-01 5.2043059095329902e-01 -1.6060640394764243e-02
-3.6266666666666669e-01 -3.6266666666666669e-01 5.1288811862064254e-01 -1.5607201302233106e-02
-3.5733333333333334e-01 -3.5733333333333334e-01 5.0534564628798595e-01 -1.5014265742319854e-02
-3.5200000000000004e-01 -3.5200000000000004e-01 4.9780317395532947e-01 -1.4337035671474610e-02
-3.4666666666666668e-01 -3.4666666666666668e-01 4.9026070162267299e-01 -1.3609687205102436e-02
-3.4133333333333332e-01 -3.4133333333333332e-01 4.8271822929001645e-01 -1.2848059021967733e-02
-3.3600000000000002e-01 -3.3600000000000002e-01 4.7517575695735997e-01 -1.2057252552393352e-02
-3.3066666666666666e-01 -3.3066666666666666e-01 4.6763328462470344e-01 -1.1239161252474615e-02
-3.2533333333333336e-01 -3.2533333333333336e-01 4.6009081229204696e-01 -1.0397432777528337e-02
-3.2000000000000001e-01 -3.2000000000000001e-01 4.5254833995939042e-01 -9.5393362166959188e-03
-3.1466666666666665e-01 -3.1466666666666665e-01 4.4500586762673389e-01 -8.6751702014063424e-03
-3.0933333333333335e-01 -3.0933333333333335e-01 4.3746339529407741e-01 -7.8163000704864448e-03
-3.0400000000000005e-01 -3.0400000000000005e-01 4.2992092296142093e-01 -6.9728788916547189e-03
-2.9866666666666669e-01 -2.9866666666666669e-01 4.2237845062876445e-01 -6.1520180286934005e-03
-2.9333333333333333e-01 -2.9333333333333333e-01 4.1483597829610791e-01 -5.3568075886607424e-03
