#y z r Fr
-4.0000000000000002e-01 -4.0000000000000002e-01 5.6568542494923812e-01 -4.1799613278213431e-02
-3.9466666666666672e-01 -3.9466666666666672e-01 5.5814295261658153e-01 -3.9874519405815663e-02
-3.8933333333333336e-01 -3.8933333333333336e-01 5.5060048028392505e-01 -3.7765913306744336e-02
-3.8400000000000001e-01 -3.8400000000000001e-01 5.4305800795126846e-01 -3.5664889885124916e-02
-3.7866666666666671e-01 -3.7866666666666671e-01 5.3551553561861198e-01 -3.3586750318239836e-02
-3.7333333333333335e-01 -3.7333333333333335e-01 5.2797306328595550e-01 -3.1515267381073499e-02
-3.6800000000000005e-01 -3.6800000000000005e-01 5.2043059095329902e-01 -2.9445526743891594e-02
-3.6266666666666669e-01 -3.6266666666666669e-01 5.1288811862064254e-01 -2.7386813003137750e-02
-3.5733333333333334e-01 -3.5733333333333334e-01 5.0534564628798595e-01 -2.5354590819695412e-02
-3.5200000000000004e-01 -3.5200000000000004e-01 4.9780317395532947e-01 -2.3363218204794096e-02
-3.4666666666666668e-01 -3.4666666666666668e-01 4.9026070162267299e-01 -2.1422479279939382e-02
-3.4133333333333332e-01 -3.4133333333333332e-01 4.8271822929001645e-01 -1.9537433224231522e-02
-3.3600000000000002e-01 -3.3600000000000002e-01 4.7517575695735997e-01 -1.7710048347102995e-02
-3.3066666666666666e-01 -3.3066666666666666e-01 4.6763328462470344e-01 -1.5941221628623672e-02
-3.2533333333333336e-01 -3.2533333333333336e-01 4.6009081229204696e-01 -1.4232304964801625e-02
-3.2000000000000001e-01 -3.2000000000000001e-01 4.5254833995939042e-01 -1.2585789654143118e-02
-3.1466666666666665e-01 -3.1466666666666665e-01 4.4500586762673389e-01 -1.1005187450627587e-02
-3.0933333333333335e-01 -3.0933333333333335e-01 4.3746339529407741e-01 -9.4943593892027802e-03
-3.0400000000000005e-01 -3.0400000000000005e-01 4.2992092296142093e-01 -8.0566099306037999e-03
-2.9866666666666669e-01 -2.9866666666666669e-01 4.2237845062876445e-01 -6.6938310558733345e-03
-2.9333333333333333e-01 -2.9333333333333333e-01 4.1483597829610791e-01 -5.4058956927200497e-03
-2.8799999999999998e-01 -2.8799999999999998e-01 4.0729350596345137e-01 -4.1903995948572911e-03
-2.8266666666666668e-01 -2.8266666666666668e-01 3.9975103363079489e-01 -3.0427605130245432e-03
-2.7733333333333338e-01 -2.7733333333333338e-01 3.9220856129813841e-01 -1.9566166644064578e-03
-2.7199999999999996e-01 -2.7199999999999996e-01 3.8466608896548182e-01 -9.2442749540655206e-04
-2.6666666666666666e-01 -2.6666666666666666e-01 3.7712361663282534e-01 6.1833329928805510e-05
-2.6133333333333336e-01 -2.6133333333333336e-01 3.6958114430016886e-01 1.0099953530686879e-03
-2.5600000000000001e-01 -2.5600000000000001e-01 3.6203867196751238e-01 1.9271007676931375e-03
-2.5066666666666665e-01 -2.5066666666666665e-01 3.5449619963485585e-01 2.8189596884131084e-03
-2.4533333333333332e-01 -2.4533333333333332e-01 3.4695372730219931e-01 3.6898761974781865e-03
-2.3999999999999999e-01 -2.3999999999999999e-01 3.3941125496954283e-01 4.5425444939773242e-03
-2.3466666666666669e-01 -2.3466666666666669e-01 3.3186878263688629e-01 5.3780946650758277e-03
-2.2933333333333331e-01 -2.2933333333333331e-01 3.2432631030422976e-01 6.1962547532950574e-03
-2.2399999999999998e-01 -2.2399999999999998e-01 3.1678383797157328e-01 6.9955898442941866e-03
